id,productoId,cantidad,precio,fecha,empleadoId
vent122,prod002,2,11.50,2024-01-07,emp004
vent123,prod011,1,16.00,2024-01-07,emp010
vent124,prod003,1,28.00,2024-01-07,emp003
vent125,prod004,2,15.50,2024-01-07,emp007
vent126,prod012,4,5.50,2024-01-07,emp010
vent127,prod006,3,13.00,2024-01-07,emp004
vent128,prod007,2,30.00,2024-01-07,emp003
vent129,prod008,2,10.50,2024-01-07,emp007
vent130,prod009,1,32.00,2024-01-07,emp003
vent131,prod013,2,24.00,2024-01-07,emp010
vent132,prod010,1,18.00,2024-01-07,emp004
vent133,prod014,1,9.50,2024-01-07,emp007
vent134,prod015,2,7.50,2024-01-07,emp007
vent135,prod016,1,26.00,2024-01-07,emp003
vent136,prod017,2,21.00,2024-01-07,emp004
vent137,prod005,1,32.00,2024-01-07,emp007
vent138,prod018,2,10.00,2024-01-07,emp004
vent139,prod019,1,36.00,2024-01-07,emp003
vent140,prod020,3,9.00,2024-01-07,emp007
vent141,prod001,1,24.50,2024-01-08,emp003
vent142,prod002,1,11.50,2024-01-08,emp004
vent143,prod011,2,16.00,2024-01-08,emp010
vent144,prod003,1,28.00,2024-01-08,emp003
vent145,prod004,1,15.50,2024-01-08,emp007
vent146,prod012,5,5.50,2024-01-08,emp010
vent147,prod006,2,13.00,2024-01-08,emp004
vent148,prod007,1,30.00,2024-01-08,emp003
vent149,prod008,1,10.50,2024-01-08,emp007
vent150,prod009,1,32.00,2024-01-08,emp003
vent151,prod013,1,24.00,2024-01-08,emp010
vent152,prod010,2,18.00,2024-01-08,emp004
vent153,prod014,2,9.50,2024-01-08,emp007
vent154,prod015,1,7.50,2024-01-08,emp007
vent155,prod016,1,26.00,2024-01-08,emp003
vent156,prod017,3,21.00,2024-01-08,emp004
vent157,prod005,1,32.00,2024-01-08,emp007
vent158,prod018,1,10.00,2024-01-08,emp004
vent159,prod019,1,36.00,2024-01-08,emp003
vent160,prod020,4,9.00,2024-01-08,emp007
vent161,prod001,2,24.50,2024-01-09,emp003
vent162,prod002,3,11.50,2024-01-09,emp004
vent163,prod011,1,16.00,2024-01-09,emp010
vent164,prod003,2,28.00,2024-01-09,emp003
vent165,prod004,2,15.50,2024-01-09,emp007
vent166,prod012,3,5.50,2024-01-09,emp010
vent167,prod006,4,13.00,2024-01-09,emp004
vent168,prod007,1,30.00,2024-01-09,emp003
vent169,prod008,2,10.50,2024-01-09,emp007
vent170,prod009,2,32.00,2024-01-09,emp003
vent171,prod013,2,24.00,2024-01-09,emp010
vent172,prod010,1,18.00,2024-01-09,emp004
vent173,prod014,1,9.50,2024-01-09,emp007
vent174,prod015,2,7.50,2024-01-09,emp007
vent175,prod016,1,26.00,2024-01-09,emp003
vent176,prod017,2,21.00,2024-01-09,emp004
vent177,prod005,1,32.00,2024-01-09,emp007
vent178,prod018,2,10.00,2024-01-09,emp004
vent179,prod019,1,36.00,2024-01-09,emp003
vent180,prod020,2,9.00,2024-01-09,emp007
vent181,prod001,1,24.50,2024-01-10,emp003
vent182,prod002,2,11.50,2024-01-10,emp004
vent183,prod011,2,16.00,2024-01-10,emp010
vent184,prod003,1,28.00,2024-01-10,emp003
vent185,prod004,1,15.50,2024-01-10,emp007
vent186,prod012,4,5.50,2024-01-10,emp010
vent187,prod006,2,13.00,2024-01-10,emp004
vent188,prod007,2,30.00,2024-01-10,emp003
vent189,prod008,1,10.50,2024-01-10,emp007
vent190,prod009,1,32.00,2024-01-10,emp003
vent191,prod013,1,24.00,2024-01-10,emp010
vent192,prod010,3,18.00,2024-01-10,emp004
vent193,prod014,2,9.50,2024-01-10,emp007
vent194,prod015,1,7.50,2024-01-10,emp007
vent195,prod016,1,26.00,2024-01-10,emp003
vent196,prod017,3,21.00,2024-01-10,emp004
vent197,prod005,1,32.00,2024-01-10,emp007
vent198,prod018,1,10.00,2024-01-10,emp004
vent199,prod019,1,36.00,2024-01-10,emp003
vent200,prod020,3,9.00,2024-01-10,emp007
vent201,prod001,2,24.50,2024-01-11,emp003
vent202,prod002,1,11.50,2024-01-11,emp004
vent203,prod011,1,16.00,2024-01-11,emp010
vent204,prod003,1,28.00,2024-01-11,emp003
vent205,prod004,2,15.50,2024-01-11,emp007
vent206,prod012,6,5.50,2024-01-11,emp010
vent207,prod006,3,13.00,2024-01-11,emp004
vent208,prod007,1,30.00,2024-01-11,emp003
vent209,prod008,2,10.50,2024-01-11,emp007
vent210,prod009,1,32.00,2024-01-11,emp003
vent211,prod013,2,24.00,2024-01-11,emp010
vent212,prod010,2,18.00,2024-01-11,emp004
vent213,prod014,1,9.50,2024-01-11,emp007
vent214,prod015,2,7.50,2024-01-11,emp007
vent215,prod016,1,26.00,2024-01-11,emp003
vent216,prod017,2,21.00,2024-01-11,emp004
vent217,prod005,1,32.00,2024-01-11,emp007
vent218,prod018,2,10.00,2024-01-11,emp004
vent219,prod019,1,36.00,2024-01-11,emp003
vent220,prod020,4,9.00,2024-01-11,emp007
vent221,prod001,1,24.50,2024-01-12,emp003
vent222,prod002,2,11.50,2024-01-12,emp004
vent223,prod011,2,16.00,2024-01-12,emp010
vent224,prod003,2,28.00,2024-01-12,emp003
vent225,prod004,1,15.50,2024-01-12,emp007
vent226,prod012,3,5.50,2024-01-12,emp010
vent227,prod006,2,13.00,2024-01-12,emp004
vent228,prod007,1,30.00,2024-01-12,emp003
vent229,prod008,1,10.50,2024-01-12,emp007
vent230,prod009,2,32.00,2024-01-12,emp003
vent231,prod013,1,24.00,2024-01-12,emp010
vent232,prod010,1,18.00,2024-01-12,emp004
vent233,prod014,2,9.50,2024-01-12,emp007
vent234,prod015,1,7.50,2024-01-12,emp007
vent235,prod016,1,26.00,2024-01-12,emp003
vent236,prod017,3,21.00,2024-01-12,emp004
vent237,prod005,1,32.00,2024-01-12,emp007
vent238,prod018,1,10.00,2024-01-12,emp004
vent239,prod019,1,36.00,2024-01-12,emp003
vent240,prod020,2,9.00,2024-01-12,emp007
vent241,prod001,2,24.50,2024-01-13,emp003
vent242,prod002,1,11.50,2024-01-13,emp004
vent243,prod011,1,16.00,2024-01-13,emp010
vent244,prod003,1,28.00,2024-01-13,emp003
vent245,prod004,2,15.50,2024-01-13,emp007
vent246,prod012,5,5.50,2024-01-13,emp010
vent247,prod006,4,13.00,2024-01-13,emp004
vent248,prod007,2,30.00,2024-01-13,emp003
vent249,prod008,2,10.50,2024-01-13,emp007
vent250,prod009,1,32.00,2024-01-13,emp003
vent251,prod013,2,24.00,2024-01-13,emp010
vent252,prod010,2,18.00,2024-01-13,emp004
vent253,prod014,1,9.50,2024-01-13,emp007
vent254,prod015,2,7.50,2024-01-13,emp007
vent255,prod016,1,26.00,2024-01-13,emp003
vent256,prod017,2,21.00,2024-01-13,emp004
vent257,prod005,1,32.00,2024-01-13,emp007
vent258,prod018,2,10.00,2024-01-13,emp004
vent259,prod019,1,36.00,2024-01-13,emp003
vent260,prod020,3,9.00,2024-01-13,emp007
vent261,prod001,1,24.50,2024-01-14,emp003
vent262,prod002,3,11.50,2024-01-14,emp004
vent263,prod011,2,16.00,2024-01-14,emp010
vent264,prod003,1,28.00,2024-01-14,emp003
vent265,prod004,1,15.50,2024-01-14,emp007
vent266,prod012,4,5.50,2024-01-14,emp010
vent267,prod006,2,13.00,2024-01-14,emp004
vent268,prod007,1,30.00,2024-01-14,emp003
vent269,prod008,1,10.50,2024-01-14,emp007
vent270,prod009,1,32.00,2024-01-14,emp003
vent271,prod013,1,24.00,2024-01-14,emp010
vent272,prod010,3,18.00,2024-01-14,emp004
vent273,prod014,2,9.50,2024-01-14,emp007
vent274,prod015,1,7.50,2024-01-14,emp007
vent275,prod016,1,26.00,2024-01-14,emp003
vent276,prod017,3,21.00,2024-01-14,emp004
vent277,prod005,1,32.00,2024-01-14,emp007
vent278,prod018,1,10.00,2024-01-14,emp004
vent279,prod019,1,36.00,2024-01-14,emp003
vent280,prod020,4,9.00,2024-01-14,emp007
vent281,prod001,2,24.50,2024-01-15,emp003
vent282,prod002,2,11.50,2024-01-15,emp004
vent283,prod011,1,16.00,2024-01-15,emp010
vent284,prod003,2,28.00,2024-01-15,emp003
vent285,prod004,2,15.50,2024-01-15,emp007
vent286,prod012,6,5.50,2024-01-15,emp010
vent287,prod006,3,13.00,2024-01-15,emp004
vent288,prod007,1,30.00,2024-01-15,emp003
vent289,prod008,2,10.50,2024-01-15,emp007
vent290,prod009,2,32.00,2024-01-15,emp003
vent291,prod013,2,24.00,2024-01-15,emp010
vent292,prod010,1,18.00,2024-01-15,emp004
vent293,prod014,1,9.50,2024-01-15,emp007
vent294,prod015,2,7.50,2024-01-15,emp007
vent295,prod016,1,26.00,2024-01-15,emp003
vent296,prod017,2,21.00,2024-01-15,emp004
vent297,prod005,1,32.00,2024-01-15,emp007
vent298,prod018,2,10.00,2024-01-15,emp004
vent299,prod019,1,36.00,2024-01-15,emp003
vent300,prod020,3,9.00,2024-01-15,emp007
vent301,prod001,1,24.50,2024-01-16,emp003
vent302,prod002,1,11.50,2024-01-16,emp004
vent303,prod011,2,16.00,2024-01-16,emp010
vent304,prod003,1,28.00,2024-01-16,emp003
vent305,prod004,1,15.50,2024-01-16,emp007
vent306,prod012,3,5.50,2024-01-16,emp010
vent307,prod006,2,13.00,2024-01-16,emp004
vent308,prod007,2,30.00,2024-01-16,emp003
vent309,prod008,1,10.50,2024-01-16,emp007
vent310,prod009,1,32.00,2024-01-16,emp003
vent311,prod013,1,24.00,2024-01-16,emp010
vent312,prod010,2,18.00,2024-01-16,emp004
vent313,prod014,2,9.50,2024-01-16,emp007
vent314,prod015,1,7.50,2024-01-16,emp007
vent315,prod016,1,26.00,2024-01-16,emp003
vent316,prod017,3,21.00,2024-01-16,emp004
vent317,prod005,1,32.00,2024-01-16,emp007
vent318,prod018,1,10.00,2024-01-16,emp004
vent319,prod019,1,36.00,2024-01-16,emp003
vent320,prod020,2,9.00,2024-01-16,emp007
vent321,prod001,2,24.50,2024-01-17,emp003
vent322,prod002,2,11.50,2024-01-17,emp004
vent323,prod011,1,16.00,2024-01-17,emp010
vent324,prod003,1,28.00,2024-01-17,emp003
vent325,prod004,2,15.50,2024-01-17,emp007
vent326,prod012,4,5.50,2024-01-17,emp010
vent327,prod006,4,13.00,2024-01-17,emp004
vent328,prod007,1,30.00,2024-01-17,emp003
vent329,prod008,2,10.50,2024-01-17,emp007
vent330,prod009,2,32.00,2024-01-17,emp003
vent331,prod013,2,24.00,2024-01-17,emp010
vent332,prod010,3,18.00,2024-01-17,emp004
vent333,prod014,1,9.50,2024-01-17,emp007
vent334,prod015,2,7.50,2024-01-17,emp007
vent335,prod016,1,26.00,2024-01-17,emp003
vent336,prod017,2,21.00,2024-01-17,emp004
vent337,prod005,1,32.00,2024-01-17,emp007
vent338,prod018,2,10.00,2024-01-17,emp004
vent339,prod019,1,36.00,2024-01-17,emp003
vent340,prod020,4,9.00,2024-01-17,emp007
vent341,prod001,1,24.50,2024-01-18,emp003
vent342,prod002,3,11.50,2024-01-18,emp004
vent343,prod011,2,16.00,2024-01-18,emp010
vent344,prod003,2,28.00,2024-01-18,emp003
vent345,prod004,1,15.50,2024-01-18,emp007
vent346,prod012,5,5.50,2024-01-18,emp010
vent347,prod006,2,13.00,2024-01-18,emp004
vent348,prod007,1,30.00,2024-01-18,emp003
vent349,prod008,1,10.50,2024-01-18,emp007
vent350,prod009,1,32.00,2024-01-18,emp003
vent351,prod013,1,24.00,2024-01-18,emp010
vent352,prod010,1,18.00,2024-01-18,emp004
vent353,prod014,2,9.50,2024-01-18,emp007
vent354,prod015,1,7.50,2024-01-18,emp007
vent355,prod016,1,26.00,2024-01-18,emp003
vent356,prod017,3,21.00,2024-01-18,emp004
vent357,prod005,1,32.00,2024-01-18,emp007
vent358,prod018,1,10.00,2024-01-18,emp004
vent359,prod019,1,36.00,2024-01-18,emp003
vent360,prod020,3,9.00,2024-01-18,emp007
vent361,prod001,2,24.50,2024-01-19,emp003
vent362,prod002,1,11.50,2024-01-19,emp004
vent363,prod011,1,16.00,2024-01-19,emp010
vent364,prod003,1,28.00,2024-01-19,emp003
vent365,prod004,2,15.50,2024-01-19,emp007
vent366,prod012,6,5.50,2024-01-19,emp010
vent367,prod006,3,13.00,2024-01-19,emp004
vent368,prod007,2,30.00,2024-01-19,emp003
vent369,prod008,2,10.50,2024-01-19,emp007
vent370,prod009,2,32.00,2024-01-19,emp003
vent371,prod013,2,24.00,2024-01-19,emp010
vent372,prod010,2,18.00,2024-01-19,emp004
vent373,prod014,1,9.50,2024-01-19,emp007
vent374,prod015,2,7.50,2024-01-19,emp007
vent375,prod016,1,26.00,2024-01-19,emp003
vent376,prod017,2,21.00,2024-01-19,emp004
vent377,prod005,1,32.00,2024-01-19,emp007
vent378,prod018,2,10.00,2024-01-19,emp004
vent379,prod019,1,36.00,2024-01-19,emp003
vent380,prod020,4,9.00,2024-01-19,emp007
vent381,prod001,1,24.50,2024-01-20,emp003
vent382,prod002,2,11.50,2024-01-20,emp004
vent383,prod011,2,16.00,2024-01-20,emp010
vent384,prod003,2,28.00,2024-01-20,emp003
vent385,prod004,1,15.50,2024-01-20,emp007
vent386,prod012,3,5.50,2024-01-20,emp010
vent387,prod006,2,13.00,2024-01-20,emp004
vent388,prod007,1,30.00,2024-01-20,emp003
vent389,prod008,1,10.50,2024-01-20,emp007
vent390,prod009,1,32.00,2024-01-20,emp003
vent391,prod013,1,24.00,2024-01-20,emp010
vent392,prod010,3,18.00,2024-01-20,emp004
vent393,prod014,2,9.50,2024-01-20,emp007
vent394,prod015,1,7.50,2024-01-20,emp007
vent395,prod016,1,26.00,2024-01-20,emp003
vent396,prod017,3,21.00,2024-01-20,emp004
vent397,prod005,1,32.00,2024-01-20,emp007
vent398,prod018,1,10.00,2024-01-20,emp004
vent399,prod019,1,36.00,2024-01-20,emp003
vent400,prod020,2,9.00,2024-01-20,emp007
vent401,prod001,2,24.50,2024-01-21,emp003
vent402,prod002,1,11.50,2024-01-21,emp004
vent403,prod011,1,16.00,2024-01-21,emp010
vent404,prod003,1,28.00,2024-01-21,emp003
vent405,prod004,2,15.50,2024-01-21,emp007
vent406,prod012,4,5.50,2024-01-21,emp010
vent407,prod006,4,13.00,2024-01-21,emp004
vent408,prod007,2,30.00,2024-01-21,emp003
vent409,prod008,2,10.50,2024-01-21,emp007
vent410,prod009,2,32.00,2024-01-21,emp003
vent411,prod013,2,24.00,2024-01-21,emp010
vent412,prod010,1,18.00,2024-01-21,emp004
vent413,prod014,1,9.50,2024-01-21,emp007
vent414,prod015,2,7.50,2024-01-21,emp007
vent415,prod016,1,26.00,2024-01-21,emp003
vent416,prod017,2,21.00,2024-01-21,emp004
vent417,prod005,1,32.00,2024-01-21,emp007
vent418,prod018,2,10.00,2024-01-21,emp004
vent419,prod019,1,36.00,2024-01-21,emp003
vent420,prod020,3,9.00,2024-01-21,emp007
vent421,prod001,1,24.50,2024-01-22,emp003
vent422,prod002,3,11.50,2024-01-22,emp004
vent423,prod011,2,16.00,2024-01-22,emp010
vent424,prod003,2,28.00,2024-01-22,emp003
vent425,prod004,1,15.50,2024-01-22,emp007
vent426,prod012,5,5.50,2024-01-22,emp010
vent427,prod006,2,13.00,2024-01-22,emp004
vent428,prod007,1,30.00,2024-01-22,emp003
vent429,prod008,1,10.50,2024-01-22,emp007
vent430,prod009,1,32.00,2024-01-22,emp003
vent431,prod013,1,24.00,2024-01-22,emp010
vent432,prod010,2,18.00,2024-01-22,emp004
vent433,prod014,2,9.50,2024-01-22,emp007
vent434,prod015,1,7.50,2024-01-22,emp007
vent435,prod016,1,26.00,2024-01-22,emp003
vent436,prod017,3,21.00,2024-01-22,emp004
vent437,prod005,1,32.00,2024-01-22,emp007
vent438,prod018,1,10.00,2024-01-22,emp004
vent439,prod019,1,36.00,2024-01-22,emp003
vent440,prod020,4,9.00,2024-01-22,emp007
vent441,prod001,2,24.50,2024-01-23,emp003
vent442,prod002,2,11.50,2024-01-23,emp004
vent443,prod011,1,16.00,2024-01-23,emp010
vent444,prod003,1,28.00,2024-01-23,emp003
vent445,prod004,2,15.50,2024-01-23,emp007
vent446,prod012,6,5.50,2024-01-23,emp010
vent447,prod006,3,13.00,2024-01-23,emp004
vent448,prod007,2,30.00,2024-01-23,emp003
vent449,prod008,2,10.50,2024-01-23,emp007
vent450,prod009,2,32.00,2024-01-23,emp003
vent451,prod013,2,24.00,2024-01-23,emp010
vent452,prod010,3,18.00,2024-01-23,emp004
vent453,prod014,1,9.50,2024-01-23,emp007
vent454,prod015,2,7.50,2024-01-23,emp007
vent455,prod016,1,26.00,2024-01-23,emp003
vent456,prod017,2,21.00,2024-01-23,emp004
vent457,prod005,1,32.00,2024-01-23,emp007
vent458,prod018,2,10.00,2024-01-23,emp004
vent459,prod019,1,36.00,2024-01-23,emp003
vent460,prod020,2,9.00,2024-01-23,emp007
vent461,prod001,1,24.50,2024-01-24,emp003
vent462,prod002,1,11.50,2024-01-24,emp004
vent463,prod011,2,16.00,2024-01-24,emp010
vent464,prod003,1,28.00,2024-01-24,emp003
vent465,prod004,1,15.50,2024-01-24,emp007
vent466,prod012,3,5.50,2024-01-24,emp010
vent467,prod006,2,13.00,2024-01-24,emp004
vent468,prod007,1,30.00,2024-01-24,emp003
vent469,prod008,1,10.50,2024-01-24,emp007
vent470,prod009,1,32.00,2024-01-24,emp003
vent471,prod013,1,24.00,2024-01-24,emp010
vent472,prod010,1,18.00,2024-01-24,emp004
vent473,prod014,2,9.50,2024-01-24,emp007
vent474,prod015,1,7.50,2024-01-24,emp007
vent475,prod016,1,26.00,2024-01-24,emp003
vent476,prod017,3,21.00,2024-01-24,emp004
vent477,prod005,1,32.00,2024-01-24,emp007
vent478,prod018,1,10.00,2024-01-24,emp004
vent479,prod019,1,36.00,2024-01-24,emp003
vent480,prod020,3,9.00,2024-01-24,emp007
vent481,prod001,2,24.50,2024-01-25,emp003
vent482,prod002,2,11.50,2024-01-25,emp004
vent483,prod011,1,16.00,2024-01-25,emp010
vent484,prod003,2,28.00,2024-01-25,emp003
vent485,prod004,2,15.50,2024-01-25,emp007
vent486,prod012,4,5.50,2024-01-25,emp010
vent487,prod006,4,13.00,2024-01-25,emp004
vent488,prod007,1,30.00,2024-01-25,emp003
vent489,prod008,2,10.50,2024-01-25,emp007
vent490,prod009,2,32.00,2024-01-25,emp003
vent491,prod013,2,24.00,2024-01-25,emp010
vent492,prod010,2,18.00,2024-01-25,emp004
vent493,prod014,1,9.50,2024-01-25,emp007
vent494,prod015,2,7.50,2024-01-25,emp007
vent495,prod016,1,26.00,2024-01-25,emp003
vent496,prod017,2,21.00,2024-01-25,emp004
vent497,prod005,1,32.00,2024-01-25,emp007
vent498,prod018,2,10.00,2024-01-25,emp004
vent499,prod019,1,36.00,2024-01-25,emp003
vent500,prod020,4,9.00,2024-01-25,emp007
vent501,prod001,1,24.50,2024-01-26,emp003
vent502,prod002,3,11.50,2024-01-26,emp004
vent503,prod011,2,16.00,2024-01-26,emp010
vent504,prod003,1,28.00,2024-01-26,emp003
vent505,prod004,1,15.50,2024-01-26,emp007
vent506,prod012,6,5.50,2024-01-26,emp010
vent507,prod006,2,13.00,2024-01-26,emp004
vent508,prod007,2,30.00,2024-01-26,emp003
vent509,prod008,1,10.50,2024-01-26,emp007
vent510,prod009,1,32.00,2024-01-26,emp003
vent511,prod013,1,24.00,2024-01-26,emp010
vent512,prod010,3,18.00,2024-01-26,emp004
vent513,prod014,2,9.50,2024-01-26,emp007
vent514,prod015,1,7.50,2024-01-26,emp007
vent515,prod016,1,26.00,2024-01-26,emp003
vent516,prod017,3,21.00,2024-01-26,emp004
vent517,prod005,1,32.00,2024-01-26,emp007
vent518,prod018,1,10.00,2024-01-26,emp004
vent519,prod019,1,36.00,2024-01-26,emp003
vent520,prod020,2,9.00,2024-01-26,emp007
vent521,prod001,2,24.50,2024-01-27,emp003
vent522,prod002,1,11.50,2024-01-27,emp004
vent523,prod011,1,16.00,2024-01-27,emp010
vent524,prod003,2,28.00,2024-01-27,emp003
vent525,prod004,2,15.50,2024-01-27,emp007
vent526,prod012,3,5.50,2024-01-27,emp010
vent527,prod006,3,13.00,2024-01-27,emp004
vent528,prod007,1,30.00,2024-01-27,emp003
vent529,prod008,2,10.50,2024-01-27,emp007
vent530,prod009,2,32.00,2024-01-27,emp003
vent531,prod013,2,24.00,2024-01-27,emp010
vent532,prod010,1,18.00,2024-01-27,emp004
vent533,prod014,1,9.50,2024-01-27,emp007
vent534,prod015,2,7.50,2024-01-27,emp007
vent535,prod016,1,26.00,2024-01-27,emp003
vent536,prod017,2,21.00,2024-01-27,emp004
vent537,prod005,1,32.00,2024-01-27,emp007
vent538,prod018,2,10.00,2024-01-27,emp004
vent539,prod019,1,36.00,2024-01-27,emp003
vent540,prod020,3,9.00,2024-01-27,emp007
vent541,prod001,1,24.50,2024-01-28,emp003
vent542,prod002,2,11.50,2024-01-28,emp004
vent543,prod011,2,16.00,2024-01-28,emp010
vent544,prod003,1,28.00,2024-01-28,emp003
vent545,prod004,1,15.50,2024-01-28,emp007
vent546,prod012,5,5.50,2024-01-28,emp010
vent547,prod006,4,13.00,2024-01-28,emp004
vent548,prod007,2,30.00,2024-01-28,emp003
vent549,prod008,1,10.50,2024-01-28,emp007
vent550,prod009,1,32.00,2024-01-28,emp003
vent551,prod013,1,24.00,2024-01-28,emp010
vent552,prod010,2,18.00,2024-01-28,emp004
vent553,prod014,2,9.50,2024-01-28,emp007
vent554,prod015,1,7.50,2024-01-28,emp007
vent555,prod016,1,26.00,2024-01-28,emp003
vent556,prod017,3,21.00,2024-01-28,emp004
vent557,prod005,1,32.00,2024-01-28,emp007
vent558,prod018,1,10.00,2024-01-28,emp004
